kanji,on,romaji on,kun,romaji kun,meaning,level,on…romaji kun
医,イ,i,いやす いする くすし,iyasu isuru kusushi ,doctor; medicine;,3,イ…いやす いする くすし
井,セイ ショウ,sei syou,い,i ,well; well crib; town; community;,1,セイ ショウ…い
亥,ガイ カイ,gai kai,い,i ,sign of the hog; 9-11PM; twelfth sign of the Chinese zodiac;,1,ガイ カイ…い
域,イキ,iki,,,range; region; limits; stage; level;,2,イキ…
育,イク,iku,そだつ そだち そだてる はぐくむ,sodatsu sodachi sodateru hagukumu ,bring up; grow up; raise; rear;,2,イク…そだつ そだち そだてる はぐくむ
郁,イク,iku,,,cultural progress; perfume;,1,イク…
磯,キ,ki,いそ,iso ,seashore; beach;,1,キ…いそ
一,イチ イツ,ichi itsu,ひと- ひとつ,hito hitotsu ,one;,4,イチ イツ…ひと- ひとつ
壱,イチ イツ,ichi itsu,ひとつ,hitotsu ,I; one;,1,イチ イツ…ひとつ
逸,イツ,itsu,それる そらす はぐれる,soreru sorasu hagureru ,deviate; idleness; leisure; miss the mark; evade; elude; parry; diverge;,1,イツ…それる そらす はぐれる
稲,トウ テ,tou te,いね いな-,ine ina ,rice plant;,1,トウ テ…いね いな-
芋,ウ,u,いも,imo ,potato;,1,ウ…いも
允,イン,in,じょう まことに ゆるす,jyou makotoni yurusu ,license; sincerity; permit;,1,イン…じょう まことに ゆるす
印,イン,in,しるし しるす,shirushi shirusu ,stamp; seal; mark; imprint; symbol; emblem; trademark; evidence; souvenir; India;,2,イン…しるし しるす
員,イン,in,,,employee; member; number; the one in charge;,3,イン…
因,イン,in,よる ちなむ,yoru chinamu ,cause; factor; be associated with; depend on; be limited to;,2,イン…よる ちなむ
姻,イン,in,,,matrimony; marry;,1,イン…
引,イン,in,ひく ひき ひき- ひける,hiku hiki hiki hikeru ,pull; tug; jerk; admit; install; quote; refer to;,2,イン…ひく ひき ひき- ひける
飲,イン オン,in on,のむ,nomu ,drink; smoke; take;,3,イン オン…のむ
胤,イン,in,たね,tane ,descendent; issue; offspring;,1,イン…たね
院,イン,in,,,Inst.; institution; temple; mansion; school;,3,イン…
陰,イン,in,かげ かげる,kage kageru ,shade; yin; negative; sex organs; secret; shadow;,1,イン…かげ かげる
隠,イン オン,in on,かくす かくし かくれる かかす よる,kakusu kakushi kakureru kakasu yoru ,conceal; hide; cover;,1,イン オン…かくす かくし かくれる かかす よる
韻,イン,in,,,rhyme; elegance; tone;,1,イン…
右,ウ ユウ,u yuu,みぎ,migi ,right;,4,ウ ユウ…みぎ
宇,ウ,u,,,eaves; roof; house; heaven;,2,ウ…
